

DBspace Usage Report: rootdbs             Owner: informix  Created: 11/07/2011


 Chunk Pathname                             Pagesize(k)  Size(p)  Used(p)  Free(p)
     1 /home/informix/local/local_root                2    50000    26962    23038

 Description                                                   Offset(p)  Size(p)
 ------------------------------------------------------------- -------- --------
 sysuser:'informix'.sysprocedures                                 21065        8
 sysuser:'informix'.sysprocbody                                   21073       16
 sysuser:'informix'.sysprocauth                                   21089        8
 sysuser:'informix'.sysprocplan                                   21097        8
 sysuser:'informix'.sysprocbody                                   21105       16
 sysuser:'informix'.sysprocedures                                 21121        8
 sysuser:'informix'.sysprocbody                                   21129       16
 sysuser:'informix'.sysproccolumns                                21145        8
 sysuser:'informix'.sysprocbody                                   21153       16
 sysuser:'informix'.sysprocedures                                 21169        8
 sysuser:'informix'.sysprocbody                                   21177       16
 sysuser:'informix'.sysprocauth                                   21193        8
 sysuser:'informix'.sysprocbody                                   21201       16
 sysuser:'informix'.sysprocedures                                 21217        8
 sysuser:'informix'.sysauth                                       21225        8
 sysuser:'informix'.sysdbsecadmauth                               21233        8
 sysadmin:'informix'.systables                                    21241        8
 sysadmin:'informix'.syscolumns                                   21249       24
 sysadmin:'informix'.sysindices                                   21273       32
 sysadmin:'informix'.systabauth                                   21305       16
 sysadmin:'informix'.syscolauth                                   21321        8
 sysadmin:'informix'.sysviews                                     21329        8
 sysadmin:'informix'.sysusers                                     21337        8
 sysadmin:'informix'.sysdepend                                    21345        8
 sysadmin:'informix'.syssynonyms                                  21353        8
 sysadmin:'informix'.syssyntable                                  21361        8
 sysadmin:'informix'.sysconstraints                               21369        8
 sysadmin:'informix'.sysreferences                                21377        8
 sysadmin:'informix'.syschecks                                    21385        8
 sysadmin:'informix'.sysdefaults                                  21393        8
 sysadmin:'informix'.syscoldepend                                 21401        8
 sysadmin:'informix'.sysprocedures                                21409        8
 sysadmin:'informix'.sysprocbody                                  21417        8
 sysadmin:'informix'.sysprocplan                                  21425        8
 sysadmin:'informix'.sysprocauth                                  21433        8
 sysadmin:'informix'.sysblobs                                     21441        8
 sysadmin:'informix'.sysopclstr                                   21449        8
 sysadmin:'informix'.systriggers                                  21457        8
 sysadmin:'informix'.systrigbody                                  21465        8
 sysadmin:'informix'.sysdistrib                                   21473        8
 sysadmin:'informix'.sysfragments                                 21481        8
 sysadmin:'informix'.sysfragauth                                  21489        8
 sysadmin:'informix'.sysxtdtypes                                  21497        8
 sysadmin:'informix'.sysxtddesc                                   21505        8
 sysadmin:'informix'.sysattrtypes                                 21513        8
 sysadmin:'informix'.sysinherits                                  21521        8
 sysadmin:'informix'.syscolattribs                                21529        8
 sysadmin:'informix'.syslogmap                                    21537        8
 sysadmin:'informix'.syscasts                                     21545       24
 sysadmin:'informix'.sysxtdtypeauth                               21569        8
 sysadmin:'informix'.sysams                                       21577        8
 sysadmin:'informix'.systabamdata                                 21585        8
 sysadmin:'informix'.sysopclasses                                 21593        8
 sysadmin:'informix'.syserrors                                    21601        8
 sysadmin:'informix'.systraceclasses                              21609        8
 sysadmin:'informix'.systracemsgs                                 21617        8
 sysadmin:'informix'.sysroutinelangs                              21625        8
 sysadmin:'informix'.syslangauth                                  21633        8
 sysadmin:'informix'.sysaggregates                                21641        8
 sysadmin:'informix'.sysroleauth                                  21649        8
 sysadmin:'informix'.sysobjstate                                  21657        8
 sysadmin:'informix'.sysviolations                                21665        8
 sysadmin:'informix'.syssequences                                 21673        8
 sysadmin:'informix'.sysdirectives                                21681        8
 sysadmin:'informix'.sysxasourcetypes                             21689        8
 sysadmin:'informix'.sysxadatasources                             21697        8
 sysadmin:'informix'.sysseclabelcomponents                        21705        8
 sysadmin:'informix'.sysseclabelcomponentelements                 21713        8
 sysadmin:'informix'.syssecpolicies                               21721        8
 sysadmin:'informix'.syssecpolicycomponents                       21729        8
 sysadmin:'informix'.syssecpolicyexemptions                       21737        8
 sysadmin:'informix'.sysseclabels                                 21745        8
 sysadmin:'informix'.sysseclabelnames                             21753        8
 sysadmin:'informix'.sysseclabelauth                              21761        8
 sysadmin:'informix'.syssurrogateauth                             21769        8
 sysadmin:'informix'.sysproccolumns                               21777        8
 sysadmin:'informix'.sysexternal                                  21785        8
 sysadmin:'informix'.sysextdfiles                                 21793        8
 sysadmin:'informix'.sysextcols                                   21801        8
 sysadmin:'informix'.systables                                    21809        8
 sysadmin:'informix'.sysprocbody                                  21817        8
 sysadmin:'informix'.sysprocedures                                21825        8
 sysadmin:'informix'.sysprocbody                                  21833       16
 sysadmin:'informix'.sysprocauth                                  21849        8
 sysadmin:'informix'.sysprocbody                                  21857        8
 sysadmin:'informix'.sysprocedures                                21865        8
 sysadmin:'informix'.sysprocbody                                  21873       24
 sysadmin:'informix'.sysproccolumns                               21897        8
 sysadmin:'informix'.sysprocedures                                21905        8
 sysadmin:'informix'.sysprocbody                                  21913       32
 sysadmin:'informix'.sysprocedures                                21945        8
 sysadmin:'informix'.sysprocbody                                  21953        8
 sysadmin:'informix'.sysprocauth                                  21961        8
 sysadmin:'informix'.sysprocbody                                  21969        8
 sysadmin:'informix'.sysprocedures                                21977        8
 sysadmin:'informix'.sysprocbody                                  21985       16
 sysadmin:'informix'.syscasts                                     22001        8
 sysadmin:'informix'.sysprocbody                                  22009       16
 sysadmin:'informix'.sysprocedures                                22025        8
 sysadmin:'informix'.sysprocbody                                  22033       16
 sysadmin:'informix'.sysproccolumns                               22049        8
 sysadmin:'informix'.sysprocauth                                  22057        8
 sysadmin:'informix'.sysprocbody                                  22065        8
 sysadmin:'informix'.sysprocedures                                22073        8
 sysadmin:'informix'.sysprocbody                                  22081       16
 sysadmin:'informix'.sysprocplan                                  22097        8
 sysadmin:'informix'.sysprocbody                                  22105       16
 sysadmin:'informix'.sysprocedures                                22121        8
 sysadmin:'informix'.sysprocbody                                  22129       24
 sysadmin:'informix'.sysproccolumns                               22153        8
 sysadmin:'informix'.sysprocbody                                  22161       56
 sysadmin:'informix'.sysprocplan                                  22217        8
 sysadmin:'informix'.sysprocedures                                22225        8
 sysadmin:'informix'.sysprocbody                                  22233       16
 sysadmin:'informix'.sysprocauth                                  22249        8
 sysadmin:'informix'.sysprocplan                                  22257        8
 sysadmin:'informix'.sysprocbody                                  22265       16
 sysadmin:'informix'.sysprocedures                                22281        8
 sysadmin:'informix'.sysprocbody                                  22289       16
 sysadmin:'informix'.sysproccolumns                               22305        8
 sysadmin:'informix'.sysprocbody                                  22313       16
 sysadmin:'informix'.sysprocedures                                22329        8
 sysadmin:'informix'.sysprocbody                                  22337       16
